psraid,sample,lang,state,cregion,usr,form,sex,q1,marital,par,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,eminuse,intmob,home3nw,q3,act112,act107,act124,act125,act136,act135,fb1,fb2,fb3,ql1,smart1,cell1a,cell1b,cell1c,txtavg1,txtavg2,txtavg3,txtavg4,txtavg5,emlavg1,emlavg2,emlavg3,picavg1,picavg2,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q4j,q4k,q4l,q5,q6,q7a,q7b,q7c,q7d,q7e,q7f,q8,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11a,q11b,q11c,q11d,q11e,sns2a,sns2b,sns2c,sns2d,sns2e,fb4,fb5,fb6,fb7,fb8a,fb8b,fb8c,fb8d,fb8e,fb9a,fb9b,fb9c,fb9d,fb9e,fb9f,fb9g,fb9h,fb10a,fb10b,fb10c,fb10d,fb10e,fb10f,fb10g,fb10h,age,hh1,live2,educ2,emplnw,hisp,birth_hisp,race,inc,ql1a,ql2hh,qc1,qc2hh,zipcode,weight,standwt
202522,2,1,16,4,U,2,1,3,1,2,1,2,2,1,2,3,1,2,1,2,1,1,1,1,2,2,2,8,2,1, , , , ,1,2,1,1,0, ,0,0, ,0, , , , ,1,4,4,2,4,1,4,4,1,4,4,2,1,2,3,1,2,4, ,4,4,1,1,1,1,1, ,1,2,1,1,1,5, ,2,2,2,3,2, , , , ,6,10,2, , ,7,7,7,7,7,3,3,3,3,3,3,3,3,1,1,1, ,1,3,1,1,59,2,2,3,1,2, ,1,6, , ,1,1,83404,2.65625,.868410101274141
202525,2,1,41,4,R,2,2,4,1,2,2,4,2,1,1,4,1,1,2,4,1,2,1,1,2,2,2,2,2,2,1,2, , ,2,2,2,2, , , , , ,0, , , , ,1,2,4,4,4,1,4,4,4,4,2,1,1,1,4,2,4, , ,1,4,1,8,1,1, , ,2,2,2,5,8, , ,4,4,1,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,68,2,2,6,3,2, ,1,7, , ,1,3,97367,1,.326930861656147
202530,2,1,48,3,S,2,2,1,6,2,2,2,1,1,1,1,2,2,3,2,2,2, ,1, , , , , , , , , , ,2,2,2,1,25, ,4,0, , , , , , ,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4, , , ,2,4,4,1,4, , , ,1,1,1,1, , ,4,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,1,1,3,4,2, ,2,1, , ,2, ,75104,6.40625,2.09440083248469
202533,2,1,42,1,S,1,2,3,6,1,1,2,1,3,1,1,3,1,1,2,1,1,1,2,2,1,2,2,2,1, , , , ,1,1,1,1,50, ,3,1, ,14, ,2,0, ,1,1,2,1,2,1,1,2,1,2,1,1,1,3,2,1,2,1, ,4,3,3,2,2,1,3, , ,2,2,5,4,2, ,4,2,1,4,3, , , , ,3,46,1,1,5,7,3,3,5,3,2,2,2,1,3,3,3,2,1,1,2,1,1,3,3,3,24,2,2,3,4,2, ,1,98, , ,2, ,16148,6.40625,2.09440083248469
202534,2,1,18,2,S,2,1,2,1,1,2,3,3,1,1,4,4,1,4,2,1,2,1,1,2,2,2,2,2,2,1,2, , ,2,2,2,1,6, ,2,0, ,10, ,0, , ,4,1,4,4,4,4,4,4,1,4,4,4,2,2,4,1,2, , ,4,2,2,2,2,1, , ,2,2,2,5,8, , ,4,4,2,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,59,1,3,5,3,2, ,1,6, , ,1,1,46068,1.15625,.37801380878992
202539,2,1,48,3,S,2,2,1,1,1,4,2,3,1,1,4,1,1,4,4,1,1,1,1,2,2,2,2,2,1, , , , ,1,1,1,1,100, ,7,3, ,150, ,3, , ,1,4,2,4,4,2,4,4,4,2,4,4,2,2,4,4,4,4, ,1,1,1,1,1,1,4, ,3,3,3,8,8,8, ,4,4,4,4,4, , , , ,5,3,2, , ,7,6,6,6,6,3,1,3,3,3,3,3,3,3,1,1,1,3,3,3,3,62,2,4,6,1,2, ,4,8, , ,1,1,76063,2.75,.899059869554405
202545,2,1,45,3,U,2,1,3,6,2,1,4,4,4,4,4,4,4,4,4,2,2, ,2, , , , , , , , , , ,2,2,2,2, , , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,1, , , ,2,2,4,4,4, , , ,1,1,1,1, , ,4,1,4,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47,1,2,1,6,2, ,2,1, , ,2, ,29405,4.6875,1.53248841401319
202551,2,1,29,2,S,2,2,2,5,2,3,4,3,1,2,4,1,1,4,3,2,2, ,1, , , , , , , , , , ,2,2,2,2, , , , , , , , , , ,4,4,4,4,4,1,4,4,4,4,4,4,2,2,4,3,4, , , ,8,2,2,8,4, , , ,3,1,5,8, , ,4,3,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,75,1,2,3,3,2, ,1,3, , ,2, ,64068,4.25,1.38945616203863
202556,2,1,55,2,R,2,2,2,3,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1, , , , ,2,1,2,1,1, ,3,1, ,40, ,20, , ,2,2,2,2,4,1,4,4,4,4,4,4,2,2,4,2,2,3,4,1,2,2,2,2,2,2,2, ,1,1,1,1,1,2,3,1,1,3,2,5, , , ,2,350,1,5,5,6,2,3,3,5,1,1,2,1,2,1,2,1,1,2,1, ,2,2,2,2,56,1,4,6,1,2, ,1,6, , ,1,3,53538,1.15625,.37801380878992
202557,2,1,20,2,U,2,2,3,1,2,2,2,3,1,1,4,1,1,3,4,1,2,1,2,2,1,2,2,2,1, , , , ,2,2,2,2, , , , , ,10, ,4,5, ,2,4,4,4,4,1,4,4,1,1,1,4,2,3,4,3,3,3, ,2,3,3,2,2,2,3, ,2,2,2,2,8,2, ,3,3,1,2,2, , , , ,1,500,2, , ,7,1,4,3,3,1,2,1,2,3,2,2,2,2,3,3, ,3,2,3,3,26,2,2,6,2,2, ,1,99, , ,2, ,66049,4.6875,1.53248841401319
